timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585851336797,61687,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851336797,10419,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851336797,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851337798,61686,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851337798,13290,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851337798,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851338798,61686,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851338798,6178,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851338798,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851339799,61685,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851339799,17766,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851339799,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851340799,61678,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851340799,11725,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851340799,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851341800,61678,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851341800,10047,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851341800,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851342801,61678,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851342801,9775,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851342801,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851343801,61674,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851343801,10071,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851343801,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851344802,61630,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851344802,13688,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851344802,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851345802,61626,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851345802,12783,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851345802,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851346802,61626,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851346802,14871,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851346802,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851347803,61622,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851347803,13470,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851347803,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851348804,61587,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851348804,26593,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851348804,3000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851349805,61477,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851349805,24600,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851349805,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851350805,61496,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851350805,11257,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851350805,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851351806,61531,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851351806,14794,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851351806,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851352807,61538,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851352807,12078,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851352807,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851353807,61564,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851353807,16006,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851353807,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851354808,61562,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851354808,10924,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851354808,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851355808,61559,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851355808,12453,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851355808,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851356808,61559,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851356808,14413,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851356808,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851357809,61559,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851357809,12875,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851357809,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851358809,61559,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851358809,18276,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851358809,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851359810,61573,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851359810,12453,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851359810,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851360810,61564,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851360810,14371,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851360810,1000,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851361810,61564,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851361810,22294,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851361810,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851362811,61567,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851362811,10507,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851362811,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851363811,61572,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851363811,16031,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851363811,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851364812,61611,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851364812,13693,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851364812,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851365812,61638,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851365812,16232,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851365812,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851366813,61656,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851366813,11678,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851366813,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851367814,61695,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851367814,12403,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851367814,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851368815,61709,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851368815,16315,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851368815,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851369815,61741,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851369815,15090,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851369815,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851370815,61776,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851370815,15642,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851370815,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851371816,61775,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851371816,13835,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851371816,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851372816,61772,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851372816,13941,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851372816,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851373817,61767,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851373817,10136,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851373817,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851374818,61766,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851374818,12336,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851374818,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851375818,61762,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851375818,11341,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851375818,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851376819,61773,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851376819,13203,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851376819,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851377819,61780,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
